Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
7781315,2,44020,1828,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
77B1045,1,44023,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
77F1162,6,44027,1622,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
77G0583,2,44028,1147,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
77G0872,3,44028,1422,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
77G1494,2,44028,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight
77H0105,2,44029,107,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Fatal
77I0514,2,44030,726,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious
77I1280,2,44030,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
77J0987,2,44031,1355,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
77J1067,2,44031,1442,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
77K1281,2,44032,1647,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
77L0074,2,44033,2115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
77M1418,2,44034,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
77O0733,2,43908,742,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
